key,value
"Residence/Home",1923593
"Highway/Road/Alley/Street/Sidewalk",799391
"Parking/Drop Lot/Garage",249221
"Other/Unknown",126786
"Convenience Store",108242
"Hotel/Motel/Etc.",85242
"Service/Gas Station",68221
"Restaurant",61874
"Department/Discount Store",60963
"Park/Playground",48427
"Specialty Store",47143
"Bar/Nightclub",46552
"Grocery/Supermarket",39489
"Drug Store/Doctor's Office/Hospital",36865
"Commercial/Office Building",35975
"School-Elementary/Secondary",35536
"Jail/Prison/Penitentiary/Corrections Facility",30118
"Field/Woods",24444
"Bank/Savings and Loan",16882
"Air/Bus/Train Terminal",15582
"Government/Public Building",14029
"Shopping Mall",10776
"Liquor Store",9552
"School-College/University",7961
"School/College",5791
"Shelter-Mission/Homeless",5514
"Church/Synagogue/Temple/Mosque",5287
"Camp/Campground",4874
"Gambling Facility/Casino/Race Track",4808
"Construction Site",4142
"Lake/Waterway/Beach",3659
"Rental Storage Facility",3514
"Tribal Lands",2515
"Community Center",2465
"Abandoned/Condemned Structure",2186
"Auto Dealership New/Used",2094
"Industrial Site",2055
"Daycare Facility",1962
"Arena/Stadium/Fairgrounds/Coliseum",1873
"ATM Separate from Bank",1495
"Dock/Wharf/Freight/Modal Terminal",1420
"Rest Area",1344
"Amusement Park",1325
"Farm Facility",893
"Military Installation",248
"Cyberspace",0
"Not Specified",0
