key,value
"Destruction/Damage/Vandalism of Property",186644
"Weapon Law Violations",152893
"Simple Assault",88998
"Kidnapping/Abduction",52913
"Drug/Narcotic Violations",48693
"Burglary/Breaking & Entering",43563
"All Other Larceny",25376
"Drug Equipment Violations",20093
"Intimidation",18248
"Aggravated Assault",17032
"Motor Vehicle Theft",13555
"Rape",12429
"Robbery",11885
"Sodomy",10554
"Stolen Property Offenses",10026
"Murder and Nonnegligent Manslaughter",9089
"Shoplifting",8478
"Theft From Building",6466
"Criminal Sexual Contact",6152
"Theft From Motor Vehicle",5813
"Sexual Assault With An Object",4183
"Pornography/Obscene Material",3890
"Arson",3119
"False Pretenses/Swindle/Confidence Game",2728
"Credit Card/Automated Teller Machine Fraud",1792
"Impersonation",1633
"Animal Cruelty",1580
"Counterfeiting/Forgery",1277
"Theft of Motor Vehicle Parts or Accessories",947
"Identity Theft",893
"Human Trafficking, Commercial Sex Acts",833
"Extortion/Blackmail",757
"Purse-snatching",612
"Pocket-picking",593
"Assisting or Promoting Prostitution",513
"Statutory Rape",445
"Prostitution",369
"Negligent Manslaughter",305
"Bribery",229
"Human Trafficking, Involuntary Servitude",197
"Embezzlement",190
"Incest",166
"Wire Fraud",146
"Purchasing Prostitution",139
"Hacking/Computer Invasion",50
"Theft From Coin-Operated Machine or Device",20
"Welfare Fraud",20
"Operating/Promoting/Assisting Gambling",12
"Flight to Avoid Prosecution",9
"Betting/Wagering",8
"Federal Liquor Offenses",7
"Failure to Register as a Sex Offender",3
"Gambling Equipment Violation",2
"Illegal Entry into the United States",1
"Smuggling Aliens",1
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Harboring Escapee/Concealing from Arrest",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
