key,value
"Relationship Unknown",1206311
"Stranger",922351
"Acquaintance",535865
"Boyfriend/Girlfriend",410405
"Otherwise Known",321108
"Spouse",126588
"Child",109630
"Friend",106049
"Other Family Member",103030
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",91817
"Sibling",75962
"Offender",71892
"Parent",68999
"Neighbor",64812
"Ex-Spouse",29338
"Stepchild",20933
"Common-Law Spouse",15375
"Child of Boyfriend or Girlfriend",14143
"In-law",13823
"Stepparent",11609
"Grandchild",9024
"Grandparent",7188
"Employee",6805
"Stepsibling",5929
"Employer",3303
"Babysittee",2861
"Homosexual Relationship",482
"Cohabitant (non-intimate relationship)",1
"Foster Child",0
"Foster Parent",0
